county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Trinity County,2020-05-09,10,0,0,0,0
Tulare County,2020-05-09,56,16,0,0,0
Tuolumne County,2020-05-09,50,8,0,0,0
Ventura County,2020-05-09,388,312,0,0,0
Yolo County,2020-05-09,246,225,0,0,0
Yuba County,2020-05-09,28,22,5,5,0
Wilton Rancheria Tribe,2020-05-09,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-09,0,0,5,5,0
Alameda County,2020-05-10,533,337,91,91,0
Alpine County,2020-05-10,0,0,0,0,0
Amador County,2020-05-10,0,0,0,0,0
Butte County,2020-05-10,115,115,0,0,0
Calaveras County,2020-05-10,73,25,0,0,0
Colusa County,2020-05-10,0,0,0,0,0
Contra Costa County,2020-05-10,442,236,0,0,0
Del Norte County,2020-05-10,19,5,0,0,0
El Dorado County,2020-05-10,26,0,0,0,0
Fresno County,2020-05-10,305,250,28,28,0
Glenn County,2020-05-10,1,1,0,0,0
Humboldt County,2020-05-10,64,40,15,7,0
Imperial County,2020-05-10,10,10,37,10,0
Inyo County,2020-05-10,10,1,0,0,0
Kern County,2020-05-10,1,1,15,15,0
Kings County,2020-05-10,0,0,0,0,0
Lake County,2020-05-10,15,7,0,0,0
Lassen County,2020-05-10,2,2,0,0,0
Los Angeles County,2020-05-10,3820,1972,651,651,0
Madera County ,2020-05-10,21,21,0,0,0
Marin County ,2020-05-10,169,100,44,7,0
Mariposa County,2020-05-10,44,13,0,0,0
Mendocino County,2020-05-10,181,141,0,0,0
Merced County,2020-05-10,112,74,0,0,0
Modoc County,2020-05-10,5,3,0,0,0
Mono County,2020-05-10,5,1,0,0,0
Monterey County,2020-05-10,142,24,108,15,8
Napa County ,2020-05-10,97,53,18,12,0
Nevada County ,2020-05-10,70,10,0,0,0
Orange County,2020-05-10,666,189,78,78,0
Placer County,2020-05-10,73,30,12,12,0
Plumas County,2020-05-10,8,8,0,0,0
Riverside County,2020-05-10,266,266,15,15,0
Sacramento County,2020-05-10,420,273,63,63,0
San Benito County,2020-05-10,67,40,3,3,0
San Bernardino County,2020-05-10,50,37,20,0,20
San Diego County,2020-05-10,2029,409,44,44,0
San Francisco,2020-05-10,2351,984,91,91,0
San Joaquin County,2020-05-10,76,32,8,8,0
San Luis Obispo County,2020-05-10,155,0,14,14,0
San Mateo County,2020-05-10,151,151,0,0,0
Santa Barbara County,2020-05-10,120,101,0,0,0
Santa Clara County,2020-05-10,709,353,105,105,0
Santa Cruz County,2020-05-10,63,48,35,0,0
Shasta County,2020-05-10,25,17,0,0,0
Sierra County,2020-05-10,0,0,0,0,0
Siskiyou County,2020-05-10,0,0,6,6,0
Solano County,2020-05-10,238,15,0,0,0
Sonoma County,2020-05-10,71,71,0,0,0
Stanislaus County,2020-05-10,121,87,0,0,0
Sutter County,2020-05-10,19,19,5,5,0
Tehama County,2020-05-10,0,0,5,5,0
Trinity County,2020-05-10,10,0,0,0,0
Tulare County,2020-05-10,56,16,0,0,0
Tuolumne County,2020-05-10,50,8,0,0,0
Ventura County,2020-05-10,388,312,0,0,0
Yolo County,2020-05-10,246,225,0,0,0
Yuba County,2020-05-10,28,22,5,5,0
Wilton Rancheria Tribe,2020-05-10,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-10,0,0,5,5,0
Alameda County,2020-05-11,533,334,91,91,0
Alpine County,2020-05-11,0,0,0,0,0
Amador County,2020-05-11,0,0,0,0,0
Butte County,2020-05-11,118,118,0,0,0
Calaveras County,2020-05-11,73,25,0,0,0
Colusa County,2020-05-11,0,0,0,0,0
Contra Costa County,2020-05-11,577,252,0,0,0
Del Norte County,2020-05-11,19,5,0,0,0
El Dorado County,2020-05-11,26,6,0,0,0
Fresno County,2020-05-11,305,250,28,28,0
Glenn County,2020-05-11,1,1,0,0,0
Humboldt County,2020-05-11,64,40,15,7,0
Imperial County,2020-05-11,10,10,37,10,0
Inyo County,2020-05-11,10,1,0,0,0
Kern County,2020-05-11,1,1,15,15,0
Kings County,2020-05-11,41,6,0,0,0
Lake County,2020-05-11,15,7,0,0,0
Lassen County,2020-05-11,2,2,0,0,0
Los Angeles County,2020-05-11,3822,1974,651,651,0
Madera County ,2020-05-11,21,21,0,0,0
Marin County ,2020-05-11,189,103,44,7,0
Mariposa County,2020-05-11,44,13,0,0,0
Mendocino County,2020-05-11,183,143,0,0,0
Merced County,2020-05-11,112,74,0,0,0
Modoc County,2020-05-11,5,3,0,0,0
Mono County,2020-05-11,5,1,0,0,0
Monterey County,2020-05-11,142,24,108,15,8
Napa County ,2020-05-11,97,53,18,12,0
Nevada County ,2020-05-11,70,10,0,0,0
Orange County,2020-05-11,666,196,78,78,0
Placer County,2020-05-11,73,30,12,12,0
Plumas County,2020-05-11,9,9,0,0,0
Riverside County,2020-05-11,266,266,15,15,0
Sacramento County,2020-05-11,420,273,63,63,0
San Benito County,2020-05-11,67,44,3,3,0
San Bernardino County,2020-05-11,50,37,20,0,20
San Diego County,2020-05-11,2029,409,44,44,0
San Francisco,2020-05-11,2351,974,91,91,0
San Joaquin County,2020-05-11,76,32,8,8,0
San Luis Obispo County,2020-05-11,155,0,14,14,0
San Mateo County,2020-05-11,156,156,0,0,0
Santa Barbara County,2020-05-11,122,106,0,0,0
Santa Clara County,2020-05-11,709,351,105,105,0
Santa Cruz County,2020-05-11,63,48,35,0,0
Shasta County,2020-05-11,25,17,0,0,0
Sierra County,2020-05-11,0,0,0,0,0
Siskiyou County,2020-05-11,0,0,6,6,0
Solano County,2020-05-11,238,18,0,0,0
Sonoma County,2020-05-11,157,71,0,0,0
Stanislaus County,2020-05-11,121,85,0,0,0
Sutter County,2020-05-11,19,19,5,5,0
Tehama County,2020-05-11,0,0,5,5,0
Trinity County,2020-05-11,10,0,0,0,0
Tulare County,2020-05-11,56,16,0,0,0
Tuolumne County,2020-05-11,50,8,0,0,0
Ventura County,2020-05-11,388,316,0,0,0
Yolo County,2020-05-11,246,224,0,0,0
Yuba County,2020-05-11,28,22,5,5,0
Wilton Rancheria Tribe,2020-05-11,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-11,0,0,5,5,0
Alameda County,2020-05-12,533,334,91,91,0
Alpine County,2020-05-12,0,0,0,0,0
Amador County,2020-05-12,0,0,0,0,0
Butte County,2020-05-12,118,118,0,0,0
Calaveras County,2020-05-12,73,25,0,0,0
Colusa County,2020-05-12,0,0,0,0,0
Contra Costa County,2020-05-12,576,254,0,0,0
Del Norte County,2020-05-12,19,4,0,0,0
El Dorado County,2020-05-12,26,6,0,0,0
Fresno County,2020-05-12,305,250,28,28,0
Glenn County,2020-05-12,1,1,0,0,0
Humboldt County,2020-05-12,64,40,15,7,0
Imperial County,2020-05-12,132,132,37,10,0
Inyo County,2020-05-12,10,1,0,0,0
Kern County,2020-05-12,1,1,15,15,0
Kings County,2020-05-12,41,6,0,0,0
Lake County,2020-05-12,15,7,0,0,0
Lassen County,2020-05-12,3,3,0,0,0
Los Angeles County,2020-05-12,3822,1965,651,651,0
Madera County ,2020-05-12,21,21,0,0,0
Marin County ,2020-05-12,189,103,44,7,0
Mariposa County,2020-05-12,44,16,0,0,0
Mendocino County,2020-05-12,183,143,0,0,0
Merced County,2020-05-12,112,74,0,0,0
Modoc County,2020-05-12,5,1,0,0,0
Mono County,2020-05-12,5,1,0,0,0
Monterey County,2020-05-12,142,24,108,15,8
Napa County ,2020-05-12,97,53,18,12,0
Nevada County ,2020-05-12,70,10,0,0,0
Orange County,2020-05-12,666,202,78,78,0
Placer County,2020-05-12,73,30,12,12,0
Plumas County,2020-05-12,9,9,0,0,0
Riverside County,2020-05-12,278,278,15,15,0
Sacramento County,2020-05-12,420,275,63,63,0
San Benito County,2020-05-12,67,57,3,3,0
San Bernardino County,2020-05-12,50,37,20,0,20
San Diego County,2020-05-12,2029,409,44,44,0
San Francisco,2020-05-12,2508,978,91,91,0
San Joaquin County,2020-05-12,76,32,8,8,0
San Luis Obispo County,2020-05-12,155,0,14,14,0
San Mateo County,2020-05-12,158,158,0,0,0
Santa Barbara County,2020-05-12,115,107,0,0,0
Santa Clara County,2020-05-12,709,361,105,105,0
Santa Cruz County,2020-05-12,63,47,35,0,0
Shasta County,2020-05-12,29,20,0,0,0
Sierra County,2020-05-12,0,0,0,0,0
Siskiyou County,2020-05-12,0,0,6,6,0
Solano County,2020-05-12,238,19,0,0,0
Sonoma County,2020-05-12,157,71,0,0,0
Stanislaus County,2020-05-12,121,85,0,0,0
Sutter County,2020-05-12,19,19,5,5,0
Tehama County,2020-05-12,0,0,5,5,0
Trinity County,2020-05-12,10,0,0,0,0
Tulare County,2020-05-12,56,18,0,0,0
Tuolumne County,2020-05-12,50,8,0,0,0
Ventura County,2020-05-12,388,314,0,0,0
Yolo County,2020-05-12,246,226,0,0,0
Yuba County,2020-05-12,29,22,5,5,0
Wilton Rancheria Tribe,2020-05-12,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-12,0,0,5,5,0
Alameda County,2020-05-13,533,350,91,91,0
Alpine County,2020-05-13,0,0,0,0,0
Amador County,2020-05-13,0,0,0,0,0
Butte County,2020-05-13,116,116,0,0,0
Calaveras County,2020-05-13,73,25,0,0,0
Colusa County,2020-05-13,0,0,0,0,0
Contra Costa County,2020-05-13,575,272,0,0,0
Del Norte County,2020-05-13,19,6,0,0,0
El Dorado County,2020-05-13,26,17,0,0,0
Fresno County,2020-05-13,305,250,28,28,0
Glenn County,2020-05-13,1,1,0,0,0
Humboldt County,2020-05-13,64,40,15,7,0
Imperial County,2020-05-13,132,132,37,10,0
Inyo County,2020-05-13,10,1,0,0,0
Kern County,2020-05-13,1,1,15,15,0
Kings County,2020-05-13,41,11,0,0,0
Lake County,2020-05-13,15,7,0,0,0
Lassen County,2020-05-13,5,5,0,0,0
Los Angeles County,2020-05-13,3822,1995,651,651,0
Madera County ,2020-05-13,21,21,0,0,0
Marin County ,2020-05-13,191,106,44,7,0
Mariposa County,2020-05-13,44,17,0,0,0
Mendocino County,2020-05-13,186,146,0,0,0
Merced County,2020-05-13,112,74,0,0,0
Modoc County,2020-05-13,5,1,0,0,0
Mono County,2020-05-13,5,1,0,0,0
Monterey County,2020-05-13,142,24,108,15,8
Napa County ,2020-05-13,97,53,18,12,0
Nevada County ,2020-05-13,70,10,0,0,0
Orange County,2020-05-13,666,221,78,78,0
Placer County,2020-05-13,73,34,12,12,0
Plumas County,2020-05-13,9,9,0,0,0
Riverside County,2020-05-13,280,280,15,15,0
Sacramento County,2020-05-13,420,275,63,63,0
San Benito County,2020-05-13,67,56,3,3,0
San Bernardino County,2020-05-13,50,37,20,0,20
San Diego County,2020-05-13,2029,409,44,44,0
San Francisco,2020-05-13,2508,990,91,91,0
San Joaquin County,2020-05-13,76,35,8,8,0
San Luis Obispo County,2020-05-13,155,0,14,14,0
San Mateo County,2020-05-13,156,156,0,0,0
Santa Barbara County,2020-05-13,115,109,0,0,0
Santa Clara County,2020-05-13,709,363,105,105,0
Santa Cruz County,2020-05-13,63,48,35,0,0
Shasta County,2020-05-13,29,20,0,0,0
Sierra County,2020-05-13,0,0,0,0,0
Siskiyou County,2020-05-13,0,0,6,6,0
Solano County,2020-05-13,238,20,0,0,0
Sonoma County,2020-05-13,157,52,0,0,0
Stanislaus County,2020-05-13,121,90,0,0,0
Sutter County,2020-05-13,19,19,5,5,0
Tehama County,2020-05-13,0,0,5,5,0
Trinity County,2020-05-13,10,0,0,0,0
Tulare County,2020-05-13,56,19,0,0,0
Tuolumne County,2020-05-13,50,8,0,0,0
Ventura County,2020-05-13,388,317,0,0,0
Yolo County,2020-05-13,246,230,0,0,0
Yuba County,2020-05-13,29,22,5,5,0
Wilton Rancheria Tribe,2020-05-13,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-13,0,0,5,5,0
Alameda County,2020-05-14,533,350,91,91,0
Alpine County,2020-05-14,0,0,0,0,0
Amador County,2020-05-14,0,0,0,0,0
Butte County,2020-05-14,116,116,0,0,0
Calaveras County,2020-05-14,73,25,0,0,0
Colusa County,2020-05-14,0,0,0,0,0
Contra Costa County,2020-05-14,575,279,0,0,0
Del Norte County,2020-05-14,19,6,0,0,0
El Dorado County,2020-05-14,26,18,0,0,0
Fresno County,2020-05-14,305,250,28,28,0
Glenn County,2020-05-14,1,1,0,0,0
Humboldt County,2020-05-14,64,40,15,7,0
Imperial County,2020-05-14,132,132,37,10,0
Inyo County,2020-05-14,10,1,0,0,0
Kern County,2020-05-14,1,1,15,15,0
Kings County,2020-05-14,41,19,0,0,0
Lake County,2020-05-14,15,7,0,0,0
Lassen County,2020-05-14,4,4,0,0,0
Los Angeles County,2020-05-14,3862,2051,651,651,0
Madera County ,2020-05-14,21,21,0,0,0
Marin County ,2020-05-14,191,109,44,7,0
Mariposa County,2020-05-14,44,16,0,0,0
Mendocino County,2020-05-14,185,145,0,0,0
Merced County,2020-05-14,112,74,0,0,0
Modoc County,2020-05-14,5,1,0,0,0
Mono County,2020-05-14,5,1,0,0,0
Monterey County,2020-05-14,142,32,108,15,8
Napa County ,2020-05-14,97,53,18,12,0
Nevada County ,2020-05-14,70,10,0,0,0
Orange County,2020-05-14,666,246,78,78,0
Placer County,2020-05-14,73,34,12,12,0
Plumas County,2020-05-14,9,9,0,0,0
Riverside County,2020-05-14,286,286,15,15,0
Sacramento County,2020-05-14,420,275,63,63,0
San Benito County,2020-05-14,67,55,3,3,0
San Bernardino County,2020-05-14,50,37,20,0,20
San Diego County,2020-05-14,2029,409,44,44,0
San Francisco,2020-05-14,2508,995,91,91,0
San Joaquin County,2020-05-14,76,35,8,8,0
San Luis Obispo County,2020-05-14,155,0,14,14,0
San Mateo County,2020-05-14,158,158,0,0,0
Santa Barbara County,2020-05-14,116,111,0,0,0
Santa Clara County,2020-05-14,709,368,105,105,0
Santa Cruz County,2020-05-14,118,59,35,0,0
Shasta County,2020-05-14,29,20,0,0,0
Sierra County,2020-05-14,0,0,0,0,0
Siskiyou County,2020-05-14,0,0,6,6,0
Solano County,2020-05-14,238,21,0,0,0
Sonoma County,2020-05-14,157,52,0,0,0
Stanislaus County,2020-05-14,121,90,0,0,0
Sutter County,2020-05-14,19,19,5,5,0
Tehama County,2020-05-14,0,0,5,5,0
Trinity County,2020-05-14,10,0,0,0,0
Tulare County,2020-05-14,56,21,0,0,0
Tuolumne County,2020-05-14,50,8,0,0,0
Ventura County,2020-05-14,388,320,0,0,0
Yolo County,2020-05-14,246,231,0,0,0
Yuba County,2020-05-14,32,22,5,5,0
Wilton Rancheria Tribe,2020-05-14,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-14,0,0,5,5,0
Alameda County,2020-05-15,533,348,91,91,0
Alpine County,2020-05-15,0,0,0,0,0
Amador County,2020-05-15,0,0,0,0,0
Butte County,2020-05-15,115,115,0,0,0
Calaveras County,2020-05-15,73,25,0,0,0
Colusa County,2020-05-15,0,0,0,0,0
Contra Costa County,2020-05-15,574,310,0,0,0
Del Norte County,2020-05-15,20,7,0,0,0
El Dorado County,2020-05-15,26,15,0,0,0
Fresno County,2020-05-15,305,250,28,28,0
Glenn County,2020-05-15,1,1,0,0,0
Humboldt County,2020-05-15,64,40,15,7,0
Imperial County,2020-05-15,132,132,37,10,0
Inyo County,2020-05-15,10,1,0,0,0
Kern County,2020-05-15,1,1,15,15,0
Kings County,2020-05-15,41,32,0,0,0
Lake County,2020-05-15,15,7,0,0,0
Lassen County,2020-05-15,5,5,0,0,0
Los Angeles County,2020-05-15,3964,2170,651,651,0
Madera County ,2020-05-15,24,21,0,0,0
Marin County ,2020-05-15,191,112,44,7,0
Mariposa County,2020-05-15,44,16,0,0,0
Mendocino County,2020-05-15,185,145,0,0,0
Merced County,2020-05-15,112,74,0,0,0
Modoc County,2020-05-15,5,1,0,0,0
Mono County,2020-05-15,5,1,0,0,0
Monterey County,2020-05-15,142,32,108,15,8
Napa County ,2020-05-15,97,53,18,12,0
Nevada County ,2020-05-15,70,10,0,0,0
Orange County,2020-05-15,666,246,78,78,0
Placer County,2020-05-15,73,34,12,12,0
Plumas County,2020-05-15,9,9,0,0,0
Riverside County,2020-05-15,286,286,15,15,0
Sacramento County,2020-05-15,420,275,63,63,0
San Benito County,2020-05-15,67,42,3,3,0
San Bernardino County,2020-05-15,50,37,20,0,20
San Diego County,2020-05-15,2029,409,44,44,0
San Francisco,2020-05-15,2508,988,91,91,0
San Joaquin County,2020-05-15,76,38,8,8,0
San Luis Obispo County,2020-05-15,155,0,14,14,0
San Mateo County,2020-05-15,158,158,0,0,0
Santa Barbara County,2020-05-15,116,114,0,0,0
Santa Clara County,2020-05-15,689,366,105,105,0
Santa Cruz County,2020-05-15,118,64,35,0,0
Shasta County,2020-05-15,29,20,0,0,0
Sierra County,2020-05-15,0,0,0,0,0
Siskiyou County,2020-05-15,0,0,6,6,0
Solano County,2020-05-15,238,25,0,0,0
Sonoma County,2020-05-15,157,52,0,0,0
Stanislaus County,2020-05-15,121,90,0,0,0
Sutter County,2020-05-15,19,19,5,5,0
Tehama County,2020-05-15,0,0,5,5,0
Trinity County,2020-05-15,10,0,0,0,0
Tulare County,2020-05-15,113,24,0,0,0
Tuolumne County,2020-05-15,50,8,0,0,0
Ventura County,2020-05-15,388,319,0,0,0
Yolo County,2020-05-15,246,231,0,0,0
Yuba County,2020-05-15,25,21,5,5,0
Wilton Rancheria Tribe,2020-05-15,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-15,0,0,5,5,0
Alameda County,2020-05-16,533,348,91,91,0
Alpine County,2020-05-16,0,0,0,0,0
Amador County,2020-05-16,0,0,0,0,0
Butte County,2020-05-16,115,115,0,0,0
Calaveras County,2020-05-16,73,25,0,0,0
Colusa County,2020-05-16,0,0,0,0,0
Contra Costa County,2020-05-16,574,310,0,0,0
Del Norte County,2020-05-16,20,7,0,0,0
El Dorado County,2020-05-16,26,15,0,0,0
Fresno County,2020-05-16,305,250,28,28,0
Glenn County,2020-05-16,1,1,0,0,0
Humboldt County,2020-05-16,74,50,15,7,0
Imperial County,2020-05-16,132,132,37,10,0
Inyo County,2020-05-16,10,1,0,0,0
Kern County,2020-05-16,1,1,15,15,0
Kings County,2020-05-16,41,36,0,0,0
Lake County,2020-05-16,15,7,0,0,0
Lassen County,2020-05-16,5,5,0,0,0
Los Angeles County,2020-05-16,3964,2170,651,651,0
Madera County ,2020-05-16,24,21,0,0,0
Marin County ,2020-05-16,191,112,44,7,0
Mariposa County,2020-05-16,44,16,0,0,0
Mendocino County,2020-05-16,185,145,0,0,0
Merced County,2020-05-16,112,74,0,0,0
Modoc County,2020-05-16,5,1,0,0,0
Mono County,2020-05-16,5,1,0,0,0
Monterey County,2020-05-16,142,32,108,15,8
Napa County ,2020-05-16,97,53,18,12,0
Nevada County ,2020-05-16,70,10,0,0,0
Orange County,2020-05-16,666,246,78,78,0
Placer County,2020-05-16,73,34,12,12,0
Plumas County,2020-05-16,9,9,0,0,0
Riverside County,2020-05-16,299,299,15,15,0
Sacramento County,2020-05-16,420,275,63,63,0
San Benito County,2020-05-16,67,42,3,3,0
San Bernardino County,2020-05-16,50,37,20,0,20
San Diego County,2020-05-16,2029,409,44,44,0
San Francisco,2020-05-16,2508,978,91,91,0
San Joaquin County,2020-05-16,76,38,8,8,0
San Luis Obispo County,2020-05-16,155,0,14,14,0
San Mateo County,2020-05-16,158,158,0,0,0
Santa Barbara County,2020-05-16,116,114,0,0,0
Santa Clara County,2020-05-16,689,364,105,105,0
Santa Cruz County,2020-05-16,118,64,35,0,0
Shasta County,2020-05-16,29,20,0,0,0
Sierra County,2020-05-16,0,0,0,0,0
Siskiyou County,2020-05-16,0,0,6,6,0
Solano County,2020-05-16,238,25,0,0,0
Sonoma County,2020-05-16,157,52,0,0,0
Stanislaus County,2020-05-16,121,89,0,0,0
Sutter County,2020-05-16,19,19,5,5,0
Tehama County,2020-05-16,0,0,5,5,0
Trinity County,2020-05-16,10,0,0,0,0
Tulare County,2020-05-16,113,24,0,0,0
Tuolumne County,2020-05-16,50,8,0,0,0
Ventura County,2020-05-16,388,319,0,0,0
Yolo County,2020-05-16,246,231,0,0,0
Yuba County,2020-05-16,28,20,5,5,0
Wilton Rancheria Tribe,2020-05-16,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-16,0,0,5,5,0
Alameda County,2020-05-17,533,352,91,91,0
Alpine County,2020-05-17,0,0,0,0,0
Amador County,2020-05-17,0,0,0,0,0
Butte County,2020-05-17,115,115,0,0,0
Calaveras County,2020-05-17,73,25,0,0,0
Colusa County,2020-05-17,0,0,0,0,0
Contra Costa County,2020-05-17,574,291,0,0,0
Del Norte County,2020-05-17,20,7,0,0,0
El Dorado County,2020-05-17,26,15,0,0,0
Fresno County,2020-05-17,305,250,28,28,0
Glenn County,2020-05-17,1,1,0,0,0
Humboldt County,2020-05-17,74,50,15,7,0
Imperial County,2020-05-17,132,132,37,10,0
Inyo County,2020-05-17,10,1,0,0,0
Kern County,2020-05-17,1,1,15,15,0
Kings County,2020-05-17,41,37,0,0,0
Lake County,2020-05-17,15,7,0,0,0
Lassen County,2020-05-17,5,5,0,0,0
Los Angeles County,2020-05-17,3964,2281,651,651,0
Madera County ,2020-05-17,24,21,0,0,0
Marin County ,2020-05-17,191,112,44,7,0
Mariposa County,2020-05-17,44,16,0,0,0
Mendocino County,2020-05-17,185,145,0,0,0
Merced County,2020-05-17,112,74,0,0,0
Modoc County,2020-05-17,5,1,0,0,0
Mono County,2020-05-17,5,1,0,0,0
Monterey County,2020-05-17,142,28,108,15,8
Napa County ,2020-05-17,97,53,18,12,0
Nevada County ,2020-05-17,70,10,0,0,0
Orange County,2020-05-17,666,246,78,78,0
Placer County,2020-05-17,73,34,12,12,0
Plumas County,2020-05-17,9,9,0,0,0
Riverside County,2020-05-17,299,299,15,15,0
Sacramento County,2020-05-17,420,275,63,63,0
San Benito County,2020-05-17,67,40,3,3,0
San Bernardino County,2020-05-17,50,37,20,0,20
San Diego County,2020-05-17,2029,409,44,44,0
San Francisco,2020-05-17,2508,995,91,91,0
San Joaquin County,2020-05-17,76,38,8,8,0
San Luis Obispo County,2020-05-17,155,0,14,14,0
San Mateo County,2020-05-17,158,158,0,0,0
Santa Barbara County,2020-05-17,139,112,0,0,0
Santa Clara County,2020-05-17,689,360,105,105,0
Santa Cruz County,2020-05-17,118,69,35,0,0
Shasta County,2020-05-17,29,20,0,0,0
Sierra County,2020-05-17,0,0,0,0,0
Siskiyou County,2020-05-17,0,0,6,6,0
Solano County,2020-05-17,238,25,0,0,0
Sonoma County,2020-05-17,157,52,0,0,0
Stanislaus County,2020-05-17,121,89,0,0,0
Sutter County,2020-05-17,19,19,5,5,0
Tehama County,2020-05-17,0,0,5,5,0
Trinity County,2020-05-17,10,0,0,0,0
Tulare County,2020-05-17,113,24,0,0,0
Tuolumne County,2020-05-17,50,8,0,0,0
Ventura County,2020-05-17,388,319,0,0,0
Yolo County,2020-05-17,246,231,0,0,0
Yuba County,2020-05-17,28,20,5,5,0
Wilton Rancheria Tribe,2020-05-17,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-17,0,0,5,5,0
Alameda County,2020-05-18,533,352,91,91,0
Alpine County,2020-05-18,0,0,0,0,0
Amador County,2020-05-18,0,0,0,0,0
Butte County,2020-05-18,117,117,0,0,0
Calaveras County,2020-05-18,73,25,0,0,0
Colusa County,2020-05-18,0,0,0,0,0
Contra Costa County,2020-05-18,574,288,0,0,0
Del Norte County,2020-05-18,20,7,0,0,0
El Dorado County,2020-05-18,26,15,0,0,0
Fresno County,2020-05-18,305,250,28,28,0
Glenn County,2020-05-18,1,1,0,0,0
Humboldt County,2020-05-18,74,51,15,7,0
Imperial County,2020-05-18,132,132,37,10,0
Inyo County,2020-05-18,10,1,0,0,0
Kern County,2020-05-18,1,1,15,15,0
Kings County,2020-05-18,41,38,0,0,0
Lake County,2020-05-18,15,7,0,0,0
Lassen County,2020-05-18,5,5,0,0,0
Los Angeles County,2020-05-18,3964,2314,651,651,0
Madera County ,2020-05-18,24,21,0,0,0
Marin County ,2020-05-18,191,110,44,7,0
Mariposa County,2020-05-18,44,15,0,0,0
Mendocino County,2020-05-18,185,145,0,0,0
Merced County,2020-05-18,112,74,0,0,0
Modoc County,2020-05-18,5,1,0,0,0
Mono County,2020-05-18,5,1,0,0,0
Monterey County,2020-05-18,142,28,108,15,8
Napa County ,2020-05-18,97,53,18,12,0
Nevada County ,2020-05-18,70,10,0,0,0
Orange County,2020-05-18,666,290,78,78,0
Placer County,2020-05-18,73,34,12,12,0
Plumas County,2020-05-18,10,10,0,0,0
Riverside County,2020-05-18,302,302,15,15,0
Sacramento County,2020-05-18,423,322,63,63,0
San Benito County,2020-05-18,67,49,3,3,0
San Bernardino County,2020-05-18,50,37,20,0,20
San Diego County,2020-05-18,2029,409,44,44,0
San Francisco,2020-05-18,2678,982,91,91,0
San Joaquin County,2020-05-18,76,38,8,8,0
San Luis Obispo County,2020-05-18,155,0,14,14,0
San Mateo County,2020-05-18,160,160,0,0,0
Santa Barbara County,2020-05-18,136,110,0,0,0
Santa Clara County,2020-05-18,689,380,105,105,0
Santa Cruz County,2020-05-18,118,69,35,0,0
Shasta County,2020-05-18,29,20,0,0,0
Sierra County,2020-05-18,0,0,0,0,0
Siskiyou County,2020-05-18,0,0,6,6,0
Solano County,2020-05-18,238,25,0,0,0
Sonoma County,2020-05-18,157,52,0,0,0
Stanislaus County,2020-05-18,121,85,0,0,0
Sutter County,2020-05-18,19,19,5,5,0
Tehama County,2020-05-18,0,0,5,5,0
Trinity County,2020-05-18,10,0,0,0,0
Tulare County,2020-05-18,113,24,0,0,0
Tuolumne County,2020-05-18,50,8,0,0,0
Ventura County,2020-05-18,388,317,0,0,0
Yolo County,2020-05-18,246,232,0,0,0
Yuba County,2020-05-18,28,20,5,5,0
Wilton Rancheria Tribe,2020-05-18,0,0,10,10,0
Bishop Paiute Tribal Council,2020-05-18,0,0,5,5,0
Alameda County,2020-05-19,533,357,91,91,0
Alpine County,2020-05-19,0,0,0,0,0
Amador County,2020-05-19,0,0,0,0,0
Butte County,2020-05-19,117,117,0,0,0
Calaveras County,2020-05-19,73,25,0,0,0
Colusa County,2020-05-19,0,0,0,0,0
Contra Costa County,2020-05-19,574,324,0,0,0
Del Norte County,2020-05-19,20,6,0,0,0
El Dorado County,2020-05-19,26,15,0,0,0
Fresno County,2020-05-19,305,250,28,28,0
Glenn County,2020-05-19,1,1,0,0,0
Humboldt County,2020-05-19,74,51,15,7,0
Imperial County,2020-05-19,132,132,37,10,0
Inyo County,2020-05-19,10,1,0,0,0
Kern County,2020-05-19,1,1,15,15,0
Kings County,2020-05-19,41,39,0,0,0
Lake County,2020-05-19,15,8,0,0,0
Lassen County,2020-05-19,4,4,0,0,0
Los Angeles County,2020-05-19,4056,2359,651,651,0
Madera County ,2020-05-19,24,21,0,0,0
Marin County ,2020-05-19,191,111,44,7,0
Mariposa County,2020-05-19,44,15,0,0,0
Mendocino County,2020-05-19,185,145,0,0,0
Merced County,2020-05-19,112,74,0,0,0
Modoc County,2020-05-19,5,1,0,0,0
Mono County,2020-05-19,5,1,0,0,0
Monterey County,2020-05-19,142,28,108,15,8
Napa County ,2020-05-19,97,53,18,12,0
Nevada County ,2020-05-19,70,10,0,0,0
Orange County,2020-05-19,666,299,78,78,0
Placer County,2020-05-19,73,37,12,12,0
Plumas County,2020-05-19,10,10,0,0,0
Riverside County,2020-05-19,307,307,15,15,0
Sacramento County,2020-05-19,423,329,63,63,0
San Benito County,2020-05-19,67,52,3,3,0
San Bernardino County,2020-05-19,50,37,20,0,20
San Diego County,2020-05-19,2029,197,44,44,0
San Francisco,2020-05-19,2678,988,91,91,0
San Joaquin County,2020-05-19,76,42,8,8,0
