sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Female,66889,2020-06-09,49.1,2047.0,43.9,50.3
Male,68667,2020-06-09,50.4,2609.0,56.0,49.7
Unknown,635,2020-06-09,0.5,7.0,0.2,0.0
Female,68430,2020-06-10,49.1,2094.0,43.9,50.3
Male,70212,2020-06-10,50.4,2669.0,56.0,49.7
Unknown,639,2020-06-10,0.5,6.0,0.1,0.0
Female,69729,2020-06-11,49.1,2126.0,44.0,50.3
Male,71605,2020-06-11,50.4,2700.0,55.9,49.7
Unknown,649,2020-06-11,0.5,6.0,0.1,0.0
Female,71501,2020-06-12,49.1,2146.0,44.0,50.3
Male,73480,2020-06-12,50.5,2727.0,55.9,49.7
Unknown,662,2020-06-12,0.5,6.0,0.1,0.0
Female,73095,2020-06-13,49.1,2184.0,44.0,50.3
Male,75088,2020-06-13,50.4,2772.0,55.9,49.7
Unknown,672,2020-06-13,0.5,5.0,0.1,0.0
Female,74350,2020-06-14,49.1,2189.0,44.0,50.3
Male,76412,2020-06-14,50.5,2786.0,55.9,49.7
Unknown,690,2020-06-14,0.5,5.0,0.1,0.0
Female,75416,2020-06-15,49.1,2197.0,43.9,50.3
Male,77466,2020-06-15,50.4,2800.0,56.0,49.7
Unknown,678,2020-06-15,0.4,5.0,0.1,0.0
Female,77199,2020-06-16,49.2,2226.0,44.0,50.3
Male,79128,2020-06-16,50.4,2833.0,55.9,49.7
Unknown,688,2020-06-16,0.4,5.0,0.1,0.0
Female,79243,2020-06-17,49.2,2260.0,44.0,50.3
Male,81212,2020-06-17,50.4,2877.0,56.0,49.7
Unknown,644,2020-06-17,0.4,5.0,0.1,0.0
Female,81326,2020-06-18,49.2,2307.0,43.9,50.3
Male,83438,2020-06-18,50.4,2937.0,55.9,49.7
Unknown,652,2020-06-18,0.4,6.0,0.1,0.0
Female,83285,2020-06-19,49.2,2328.0,43.8,50.3
Male,85352,2020-06-19,50.4,2984.0,56.1,49.7
Unknown,672,2020-06-19,0.4,6.0,0.1,0.0
Female,85516,2020-06-20,49.2,2368.0,43.8,50.3
Male,87602,2020-06-20,50.4,3028.0,56.1,49.7
Unknown,706,2020-06-20,0.4,6.0,0.1,0.0
Female,87641,2020-06-21,49.2,2372.0,43.7,50.3
Male,89690,2020-06-21,50.4,3047.0,56.2,49.7
Unknown,723,2020-06-21,0.4,6.0,0.1,0.0
Female,90119,2020-06-22,49.2,2384.0,43.8,50.3
Male,92199,2020-06-22,50.4,3055.0,56.1,49.7
Unknown,755,2020-06-22,0.4,6.0,0.1,0.0
