age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
Unknown,103,2020-05-12,0.1,1.0,0.0,0.0
0-17,2799,2020-05-13,3.8,0.0,0.0,22.5
18-49,36602,2020-05-13,50.0,176.0,6.0,43.5
50-64,18154,2020-05-13,24.8,445.0,15.2,18.4
65+,15498,2020-05-13,21.2,2304.0,78.7,15.6
Unknown,111,2020-05-13,0.2,1.0,0.0,0.0
0-17,2951,2020-05-14,3.9,0.0,0.0,22.5
18-49,37637,2020-05-14,50.2,183.0,6.0,43.5
50-64,18510,2020-05-14,24.7,459.0,15.2,18.4
65+,15725,2020-05-14,21.0,2386.0,78.8,15.6
Unknown,113,2020-05-14,0.2,1.0,0.0,0.0
0-17,3064,2020-05-15,4.0,0.0,0.0,22.5
18-49,38611,2020-05-15,50.3,185.0,5.9,43.5
50-64,18908,2020-05-15,24.6,468.0,15.0,18.4
65+,16101,2020-05-15,21.0,2465.0,79.0,15.6
Unknown,109,2020-05-15,0.1,1.0,0.0,0.0
0-17,3225,2020-05-16,4.1,0.0,0.0,22.5
18-49,39651,2020-05-16,50.3,187.0,5.9,43.5
50-64,19365,2020-05-16,24.6,475.0,14.9,18.4
65+,16489,2020-05-16,20.9,2516.0,79.1,15.6
Unknown,109,2020-05-16,0.1,1.0,0.0,0.0
0-17,3355,2020-05-17,4.2,0.0,0.0,22.5
18-49,40539,2020-05-17,50.4,189.0,5.9,43.5
0-17,11064,2020-06-16,7.0,0.0,0.0,22.5
18-49,85325,2020-06-16,54.3,312.0,6.2,43.5
50-64,34922,2020-06-16,22.2,812.0,16.0,18.4
65+,25503,2020-06-16,16.2,3939.0,77.8,15.6
Missing,201,2020-06-16,0.1,1.0,0.0,0.0
0-17,10451,2020-06-14,6.9,0.0,0.0,22.5
18-49,81943,2020-06-14,54.1,307.0,6.2,43.5
50-64,33871,2020-06-14,22.4,798.0,16.0,18.4
65+,24981,2020-06-14,16.5,3874.0,77.8,15.6
Missing,206,2020-06-14,0.1,1.0,0.0,0.0
0-17,9819,2020-06-12,6.7,0.0,0.0,22.5
18-49,78441,2020-06-12,53.9,296.0,6.1,43.5
50-64,32783,2020-06-12,22.5,778.0,15.9,18.4
65+,24403,2020-06-12,16.8,3804.0,78.0,15.6
Missing,197,2020-06-12,0.1,1.0,0.0,0.0
0-17,7947,2020-06-06,6.2,0.0,0.0,22.5
18-49,68412,2020-06-06,53.1,269.0,6.0,43.5
50-64,29556,2020-06-06,22.9,709.0,15.8,18.4
65+,22704,2020-06-06,17.6,3523.0,78.3,15.6
Missing,193,2020-06-06,0.1,0.0,0.0,0.0
0-17,7678,2020-06-05,6.1,0.0,0.0,22.5
18-49,66755,2020-06-05,53.0,261.0,5.9,43.5
50-64,29033,2020-06-05,23.0,696.0,15.7,18.4
65+,22365,2020-06-05,17.7,3478.0,78.4,15.6
Missing,185,2020-06-05,0.1,0.0,0.0,0.0
50-64,19703,2020-05-17,24.5,481.0,15.0,18.4
65+,16727,2020-05-17,20.8,2546.0,79.2,15.2
Unknown,106,2020-05-17,0.1,0.0,0.0,0.0
0-17,3446,2020-05-18,4.2,0.0,0.0,22.5
18-49,41321,2020-05-18,50.5,190.0,5.8,43.5
50-64,20003,2020-05-18,24.5,483.0,14.9,18.4
65+,16920,2020-05-18,20.7,2577.0,79.3,15.6
Unknown,105,2020-05-18,0.1,0.0,0.0,0.0
0-17,3657,2020-05-19,4.4,0.0,0.0,22.5
18-49,42591,2020-05-19,50.7,195.0,5.8,43.5
50-64,20468,2020-05-19,24.4,509.0,15.1,18.4
65+,17232,2020-05-19,20.5,2670.0,79.1,15.6
Unknown,109,2020-05-19,0.1,0.0,0.0,0.0
0-17,3855,2020-05-20,4.5,0.0,0.0,22.5
18-49,43749,2020-05-20,50.8,198.0,5.7,43.5
50-64,20967,2020-05-20,24.3,522.0,15.1,18.4
65+,17513,2020-05-20,20.3,2731.0,79.1,15.6
Unknown,113,2020-05-20,0.1,0.0,0.0,0.0
0-17,4049,2020-05-21,4.6,0.0,0.0,22.5
18-49,44952,2020-05-21,50.8,203.0,5.7,43.5
50-64,21461,2020-05-21,24.3,536.0,15.1,18.4
65+,17864,2020-05-21,20.2,2805.0,79.1,15.6
Unknown,118,2020-05-21,0.1,0.0,0.0,0.0
0-17,4273,2020-05-22,4.7,0.0,0.0,22.5
18-49,46131,2020-05-22,50.9,203.0,5.7,43.5
50-64,21938,2020-05-22,24.2,544.0,15.2,18.4
65+,18164,2020-05-22,20.0,2842.0,79.2,15.6
Unknown,125,2020-05-22,0.1,0.0,0.0,0.0
0-17,4462,2020-05-23,4.8,0.0,0.0,22.5
18-49,47331,2020-05-23,51.1,204.0,5.6,43.5
50-64,22361,2020-05-23,24.1,556.0,15.2,18.4
65+,18424,2020-05-23,19.9,2885.0,79.1,15.6
Unknown,132,2020-05-23,0.1,1.0,0.0,0.0
0-17,4633,2020-05-24,4.9,0.0,0.0,22.5
18-49,48364,2020-05-24,51.1,206.0,5.6,43.5
50-64,22754,2020-05-24,24.1,560.0,15.3,18.4
65+,18670,2020-05-24,19.7,2899.0,79.1,15.6
Unknown,137,2020-05-24,0.1,1.0,0.0,0.0
0-17,4872,2020-05-25,5.0,0.0,0.0,22.5
18-49,49643,2020-05-25,51.3,208.0,5.7,43.5
50-64,23185,2020-05-25,24.0,560.0,15.2,18.4
65+,18898,2020-05-25,19.5,2911.0,79.1,15.6
Unknown,135,2020-05-25,0.1,0.0,0.0,0.0
0-17,5122,2020-05-26,5.2,0.0,0.0,22.5
18-49,50981,2020-05-26,51.5,210.0,5.7,43.5
50-64,23633,2020-05-26,23.9,564.0,15.2,18.4
65+,19095,2020-05-26,19.3,2933.0,79.1,15.6
Unknown,149,2020-05-26,0.2,0.0,0.0,0.0
0-17,5371,2020-05-27,5.3,0.0,0.0,22.5
18-49,52555,2020-05-27,51.7,218.0,5.7,43.5
50-64,24154,2020-05-27,23.8,579.0,15.2,18.4
65+,19462,2020-05-27,19.1,3019.0,79.1,15.6
